Metodologia de Vaolorizacao,Valias Potenciais SCR,Valias Potenciais FCR,Valias Potenciais Total
Valor de aquisicao,0,4138.7,4138.7
Preco de mercado,-315.3,-51228.4,-51543.7
Transaccoes relevantes,49.7,2479.1,2528.8
Multiplos,3249.7,87396.4,90646.1
Fluxos de caixa descontados (DCF),19018,-90058.1,-71040.1
NAV,778,11.9,789.9
valor de aquisicao (factor de desconto),0,0,0
Preco de mercado (factor de desconto),107,12.3,119.3
Transaccoes relevantes (factor de desconto),0,-75,-75
Multiplos (factor de desconto),5578.4,819.8,6398.2
Fluxos de caixa descontados (DCF) (factor de desconto),4668.4,-23703.8,-19035.4
Outros (1),-4548.1,0,-4548.1
Total,28585.8,-70207.1,-41621.3
