Sectores de Actividade,N.. Partic. (1) SCR,valor SCR,% SCR,N.. Partic. (1) FCR,valor FCR,% FCR,N.. Partic. (1) Total,valor Total,% Total
"Agricultura, producao animal, caca, floresta e pesca",4,0.7,0.00103950104,11,30,0.02110446711,15,30.7,0.01465463745
Industrias extractivas,0,0,0,0,0,0,0,0,0
Industrias transformadoras,31,38.3,0.05687555688,195,283,0.1990854731,226,321.3,0.153372476
"Eletrocidade, gas, vapor agua quente e ar frio",3,0.1,0.0001485001485,17,139.6,0.0982061203,20,139.7,0.06668576066
"Captacao, tratamento e distribuicao de agua; saneamento, gestao de residuos e despoluicao",3,318,0.4722304722,7,46.8,0.0329229687,10,364.8,0.1741371903
Construcao,3,10,0.01485001485,11,20.4,0.01435103764,14,30.4,0.01451143253
Comercio por grosso e retalho; reparacao de veiculos automoveis e motociclos,10,4.4,0.006534006534,77,27.9,0.01962715441,87,32.3,0.01541839706
Transportes e armazenagem,1,185.8,0.2759132759,5,26.3,0.01850158284,6,212.1,0.1012458829
"Alojamento, restauracao e similares",16,4.9,0.007276507277,38,83.6,0.05881111502,54,88.5,0.04224545324
Actividades de informacao e comunicacao,13,1.2,0.001782001782,100,54.5,0.03833978192,113,55.7,0.02658838131
Actividades financeiras e seguros,42,93.6,0.138996139,140,389.6,0.2740766796,182,483.2,0.2306554012
Actividades imobiliarias,17,6.9,0.01024651025,6,27.4,0.0192754133,23,34.3,0.01637309657
"Actividades de consultadoria, cientificas, tecnicas e similares",28,5.3,0.007870507871,155,161.8,0.113823426,183,167.1,0.07976514392
Actividades administrativas e dos servicos de apoio,10,1.3,0.001930501931,38,105.1,0.07393598312,48,106.4,0.05079001384
Administracao Publica e Defesa; Seguranca Social Obrigatoria,0,0,0,0,0,0,0,0,0
Educacao,2,0.2,0.000297000297,1,0,0,3,0.2,0.00009546995083
Actividades de saude humana e apoio social,5,1.9,0.002821502822,8,13,0.009145269082,13,14.9,0.007112511337
"Actividades artisticas, de espectaculos, desportivas e recreativas",3,0.8,0.001188001188,14,12,0.008441786845,17,12.8,0.006110076853
Outras actividades de servicos,0,0,0,3,0.5,0.0003517411185,3,0.5,0.0002386748771
Actividades das familias empregadoras de pessoal domestico e actividades de producao das familias para uso proprio,0,0,0,0,0,0,0,0,0
Actividades dos organismos internacionais e outras instituicoes extra-territoriais,0,0,0,0,0,0,0,0,0
Total,191,673.4,1,826,1421.5,1,1017,2094.9,1
