,Aquisicoes SCR,Alienacoes SCR,Invest. Liquido SCR,N. Trans. SCR,Aquisicoes FCR,Alienacoes FCR,Invest. Liquido FCR,N. Trans. FCR,Aquisicoes Total,Alienacoes Total,Invest. Liquido Total,N. Trans. Total
Start-up,2374.8,591.6,1783.2,22,79949.6,3348.5,76601.1,80,82324.4,3940.1,78384.3,102
Outros,4248,7546.5,-3298.5,9,19113.9,998.9,18115,16,23361.9,8545.4,14816.5,25
Early-stage,0,0,0,1,8468.4,49.6,8418.8,15,8468.4,49.6,8418.8,16
Refinanciamento da divida bancaria,0,0,0,0,6660.1,0,6660.1,9,6660.1,0,6660.1,9
Capital de substituicao,7446.4,563.6,6882.8,16,5984.9,7823,-1838.1,10,13431.3,8386.6,5044.7,26
Turnaorund,0,0,0,0,10948.2,6230.8,4717.4,21,10948.2,6230.8,4717.4,21
Management buy in,0,0,0,0,603,0.1,602.9,3,603,0.1,602.9,3
Expansao,11315.1,15920.3,-4605.2,6,26355.9,23256,3099.9,46,37671,39176.3,-1505.3,52
Seed Capital,0,0,0,0,220,5506.6,-5286.6,6,220,5506.6,-5286.6,6
Management buy out,0,5659.2,-5659.2,1,536.3,3712.2,-3175.9,7,536.3,9371.4,-8835.1,8
Total,25384.3,30281.2,-4896.9,55,158840.3,50925.7,107914.6,213,184224.6,81206.9,103017.7,268
